"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"120002","无边定罪","无边定罪","宣判一名敌方单位的罪行，召唤圣光对其造成巨大打击","129","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"宣判一名敌方单位的罪行，召唤圣光对其造成巨大打击","召唤圣光攻击单个目标，附带一定百分比伤害","3","召唤圣光攻击单个目标，附带一定百分比伤害","召唤圣光攻击单个目标，附带一定百分比伤害","召唤圣光攻击单个目标，附带一定百分比伤害","召唤圣光攻击单个目标，附带一定百分比伤害","召唤圣光攻击单个目标，附带一定百分比伤害","召唤圣光攻击单个目标，附带一定百分比伤害","召唤圣光攻击单个目标，附带一定百分比伤害","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","增加使用时的伤害，增加附带百分比伤害的效果和几率","1","200","200","200","200","200","200"
"120003","复仇之盾","复仇之盾","圣光使者拥有强大的正义力量，不惧更多的敌人怨恨自己。","338","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"圣光使者拥有强大的正义力量，不惧更多的敌人怨恨自己。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","4","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。","增加降低对方伤害效果，60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果，60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果，60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果，60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果， 60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果， 60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果，60级可嘲讽4个目标。永久增加主角的速度","增加降低对方伤害效果，60级可嘲讽4个目标。永久增加主角的速度","1","200","200","200","200","200","200"
"120004","圣光洗礼","圣光洗礼","借助圣光的信仰来治疗队友，给予虔诚者强力恢复","340","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"借助圣光的信仰来治疗队友，给予虔诚者强力恢复","治疗单个目标","5","治疗单个目标","治疗单个目标","治疗单个目标","治疗单个目标","治疗单个目标","治疗单个目标","治疗单个目标","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","增加治疗效果，永久增加主角的控制抗性","1","200","200","200","200","200","200"
"120005","神谕责难","神谕责难","严厉指责敌人的罪行，使敌人放弃抵抗","87","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"严厉指责敌人的罪行，使敌人放弃抵抗","净化对方多个目标的所有增益状态，可破隐身","6","净化对方多个目标的所有增益状态，可破隐身","净化对方多个目标的所有增益状态，可破隐身","净化对方多个目标的所有增益状态，可破隐身","净化对方多个目标的所有增益状态，可破隐身","净化对方多个目标的所有增益状态，可破隐身","净化对方多个目标的所有增益状态，可破隐身","净化对方多个目标的所有增益状态，可破隐身","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","增加使用时的伤害，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。永久增加主角的法术攻击","1","200","200","200","200","200","200"
"120006","神圣庇护","神圣庇护","乌瑟召唤圣光之力将其注入鞋子，使其附加速度","98","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"乌瑟召唤圣光之力将其注入鞋子，使其附加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","7","制造一张附魔卷轴，该卷轴可给鞋子增加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","制造一张附魔卷轴，该卷轴可给鞋子增加速度","增加附魔附加速度的效果","增加附魔附加速度的效果","增加附魔附加速度的效果","增加附魔附加速度的效果","增加附魔附加速度的效果","增加附魔附加速度的效果","增加附魔附加速度的效果","增加附魔附加速度的效果","1","200","200","200","200","200","200"
"120007","守护圣盾","守护圣盾","圣骑史诗技能，将神之盾则具现于周围，对所有队友进行守护。“此乃神定庇护，愿此身化作守护圣盾！”","341","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"4127","1",,"圣骑史诗技能，将神之盾则具现于周围，对所有队友进行守护。“此乃神定庇护，愿此身化作守护圣盾！”","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，自己也被守护，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","8","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","守护1个队友","守护2个队友","守护3个队友","守护4个队友","守护4个队友","守护4个队友","守护4个队友","守护4个队友","1","2","3","4","5","6","7"
"130000","狩猎姿态","狩猎姿态","猎人在夜晚是一个娴熟的猎手，或许...白天也是","74","-1","0","0","无消耗","-1","0","0",,"1","1",,"猎人在夜晚是一个娴熟的猎手，或许...白天也是","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","0","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","猎人的基础技能，开启狩猎状态，狩猎状态下物理攻击提高，是释放多重打击、穿刺打击、精准打击的前提。","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","增加狩猎状态的增强效果，60级可持续5回合，90级可持续6回合。永久增加主角的物理攻击","1","200","200","200","200","200","200"
"130001","多重打击","多重打击","一些老练的猎人在狩猎的过程中，掌握的一种技巧","63","100","0","0","无消耗","-1","0","0",,"480","1",,"一些老练的猎人在狩猎的过程中，掌握的一种技巧","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","1","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","1","200","200","200","200","200","200"
"130002","穿刺打击","穿刺打击","预备...瞄准...射！","343","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"预备...瞄准...射！","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","2","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","200","200","200","200","200","200"
"130003","野性召唤","野性召唤","优秀的猎人能激发宠物的最大潜能","344","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"10","1",,"优秀的猎人能激发宠物的最大潜能","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","3","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","增加加攻效果，60级可持续5回合，90级可持续6回合。永久增加主角的速度","1","200","200","200","200","200","200"
